siteID,collectYear,collectMonth,mean_SWN
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.3
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.3
CRAM,2017,11,2.2
CRAM,2017,11,2.3
CRAM,2017,11,2.2
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.2
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2
CRAM,2017,11,2
CRAM,2017,11,2
CRAM,2017,11,1.9
CRAM,2017,11,1.9
CRAM,2017,11,1.9
CRAM,2017,11,2
CRAM,2017,11,2
CRAM,2017,11,1.9
CRAM,2017,11,2
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.2
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.6
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.6
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.6
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.2
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2
CRAM,2017,11,2
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.1
CRAM,2017,11,2.2
CRAM,2017,11,2.2
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.6
CRAM,2017,11,2.5
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.5
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.7
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.7
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.5
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.3
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.7
CRAM,2017,11,2.6
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.6
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.6
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.6
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.7
CRAM,2017,11,2.6
CRAM,2017,11,2.7
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.6
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.5
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.4
CRAM,2017,11,2.3
